icao24,callsign,latitude,longitude,altitude,velocity,timestamp
ac8fbd,N9083Z  ,42.8505,-76.4135,2644.14,73.21,2024-10-03 19:18:57
a23582,N241UK  ,33.3697,-116.589,3589.02,35.73,2024-10-03 19:18:57
4b1804,SWR28L  ,46.5537,6.2849,4229.1,162.97,2024-10-03 19:18:57
4b1808,SWR2075 ,41.5845,-5.7877,9944.1,246.39,2024-10-03 19:18:57
4b1800,SWR181V ,39.1576,21.2895,11445.24,217.9,2024-10-03 19:18:57
aaef60,AAL311  ,42.583,-93.9467,11582.4,211.79,2024-10-03 19:18:57
4952ca,TAP556  ,39.0251,-8.907,3421.38,176.66,2024-10-03 19:18:57
4952cb,TAP574  ,45.892,-1.8757,10972.8,216.39,2024-10-03 19:18:57
4952cd,TAP755  ,49.8576,3.5842,11277.6,248.32,2024-10-03 19:18:57
a3a575,JBU1955 ,42.0613,-71.8961,7924.8,208.74,2024-10-03 19:18:57
ad3c16,AAL2124 ,37.6515,-122.3613,434.34,95.24,2024-10-03 19:18:57
a5954e,UAL2673 ,40.8796,-88.4734,7856.22,211.07,2024-10-03 19:18:57
ace6b9,N930LX  ,30.6177,-92.6311,9448.8,173.26,2024-10-03 19:18:57
a1befc,UAL469  ,40.2478,-95.9985,11582.4,231.52,2024-10-03 19:18:57
a97808,N709WY  ,31.7117,-86.7615,7627.62,140.86,2024-10-03 19:18:57
a808d7,ATN3308 ,39.0456,-84.778,1303.02,130.16,2024-10-03 19:18:57
4952c1,TAP534  ,48.8178,3.1992,10957.56,216.63,2024-10-03 19:18:57
4952c5,TAP74NA ,44.2561,-4.0243,10355.58,213.98,2024-10-03 19:18:57
4952c6,TAP783  ,58.488,15.8708,9776.46,238.86,2024-10-03 19:18:57
ac83aa,N905VR  ,34.1532,-97.5833,13716.0,239.56,2024-10-03 19:18:57
4952c8,TAP86VC ,43.0488,5.2766,11887.2,228.87,2024-10-03 19:18:57
a2ded8,SWA3530 ,27.2336,-79.2585,7010.4,236.06,2024-10-03 19:18:57
39de41,TVF70WG ,44.6012,12.8338,11574.78,224.14,2024-10-03 19:18:57
3c6669,DLH43U  ,42.9422,-1.3564,10652.76,221.9,2024-10-03 19:18:57
3c6667,DLH05U  ,46.6988,-1.1639,10660.38,240.16,2024-10-03 19:18:57
44028c,EJU4588 ,38.465,-8.9939,10972.8,219.58,2024-10-03 19:18:57
4acb01,NSZ3659 ,41.4672,3.1576,8275.32,219.73,2024-10-03 19:18:57
ad564b,N959CC  ,38.7241,-80.7472,13106.4,179.54,2024-10-03 19:18:57
a61815,N492FT  ,35.1979,-103.1366,13106.4,217.79,2024-10-03 19:18:57
51116f,MBU6513 ,41.1384,4.3593,11536.68,234.35,2024-10-03 19:18:57
4bc8c3,PGT740  ,39.2255,30.0729,8755.38,240.79,2024-10-03 19:18:57
40814c,GLMHA   ,42.4485,-2.8837,13106.4,226.05,2024-10-03 19:18:57
abf008,SWA3650 ,39.5037,-92.3067,10972.8,215.66,2024-10-03 19:18:57
511171,MBU6891 ,48.809,17.0768,10980.42,230.66,2024-10-03 19:18:57
511170,MBU6003 ,48.3984,17.4414,10972.8,237.97,2024-10-03 19:18:57
a46e8c,DOW385  ,40.3011,-82.4487,5372.1,109.32,2024-10-03 19:18:57
3c6672,DLH3WY  ,44.5416,9.6176,10668.0,222.52,2024-10-03 19:18:57
a8e37c,DAL3115 ,29.7819,-83.869,10462.26,250.81,2024-10-03 19:18:57
a1b2ee,JBU52   ,32.978,-80.7021,11277.6,243.28,2024-10-03 19:18:57
ac101f,SWA1136 ,41.7413,-83.2412,11277.6,260.41,2024-10-03 19:18:57
a2d2da,N281MW  ,45.1155,-87.3139,11879.58,275.32,2024-10-03 19:18:57
ad90a3,AAL927  ,32.9484,-81.0225,9364.98,237.68,2024-10-03 19:18:57
471efc,WMT20QC ,40.6532,9.0504,10668.0,206.61,2024-10-03 19:18:57
a798ad,WMN589  ,31.1376,-87.3685,12496.8,248.54,2024-10-03 19:18:57
a4d84d,CTL105  ,43.4469,-89.9683,2735.58,92.22,2024-10-03 19:18:57
a88072,NKS1237 ,37.9851,-84.0653,10972.8,223.77,2024-10-03 19:18:57
a94b50,UAL378  ,41.8488,-88.5542,4511.04,180.84,2024-10-03 19:18:57
